average_storm_area,average_storm_distance,average_storm_duration,interval_start
16.606373299319728,0.030195915021755903,4.6938775510204085,2025-08-01
47.243292104139435,0.0562499642830155,4.444444444444445,2025-08-02
114.15759057386646,0.07802277929212272,5.770975056689342,2025-08-03
99.03969399360395,0.04836539435715781,4.040590405904059,2025-08-04
147.3240523329811,0.11634288359107783,8.225190839694656,2025-08-05
23.42188319281046,0.0439443511107478,3.9215686274509802,2025-08-06
1.5555546666666669,0.02329191216746176,3.0,2025-08-07
24.659043483870967,0.046733418322863145,4.193548387096774,2025-08-08
28.691162836167802,0.04776463139782206,6.071428571428571,2025-08-09
60.76631775444523,0.0415004344268173,4.753694581280788,2025-08-10
88.49235188054678,0.10089913892899131,7.847682119205298,2025-08-11
128.27374881666668,0.021962515335048425,1.25,2025-08-12
149.36236442437848,0.10592184895916226,7.613307618129219,2025-08-13
74.47562046641414,0.058306546615571005,5.0,2025-08-14
100.56783152638457,0.08921384442943672,6.25,2025-08-15
0.752688,0.0,0.0,2025-08-16
68.6752303608085,0.04391597002704149,4.424460431654676,2025-08-17
85.43570188514329,0.03920463952264806,4.072398190045249,2025-08-18
139.3117488434355,0.06177162130662891,5.34412955465587,2025-08-19
0.752688,0.0,0.0,2025-08-20
45.413625634085214,0.05759953606230825,6.052631578947368,2025-08-21
3.1675619999999998,0.01580789448148067,2.5,2025-08-22
71.2574517936382,0.0664532542994724,5.105820105820106,2025-08-23
74.40113887065131,0.15290184856816585,11.530054644808743,2025-08-24
15.410730647814209,0.09426815827410533,8.032786885245901,2025-08-26
5.833332666666667,0.04259052770362771,5.0,2025-08-27
66.89243446994536,0.0451668934097738,4.836065573770492,2025-08-28
80.34111683053594,0.14497343083446837,10.01416430594901,2025-08-30
54.592398431924885,0.03806057785037423,2.816901408450704,2025-08-31
147.73681474630538,0.07942768844423194,5.758180367118914,2025-09-01
54.60677597041013,0.04595621190014992,4.624277456647399,2025-09-02
29.887266939215685,0.029364788968211434,4.117647058823529,2025-09-03
109.32467280086723,0.04395482402958563,4.370860927152318,2025-09-04
203.41891040855322,0.06491410096117345,5.207006369426751,2025-09-05
141.35819116764512,0.10310243123917749,7.2396630934150075,2025-09-07
13.150333615384616,0.05087955800081283,4.230769230769231,2025-09-08
76.08957761305943,0.08246013597145217,6.4345738295318124,2025-09-09
73.38555755762411,0.05788885999801174,5.26595744680851,2025-09-10
85.96850940994372,0.11418436448405732,8.63262910798122,2025-09-11
13.401377020833333,0.03126279379208077,4.375,2025-09-12
108.86289779084417,0.10048330631152404,7.0134874759152215,2025-09-13
110.77056598589957,0.10922658680386821,7.704081632653061,2025-09-15
20.465947797619044,0.05352291965694581,5.714285714285714,2025-09-16
65.11368715028287,0.0878399856593521,6.788079470198675,2025-09-17
1.9653515555555556,0.041182931603528525,5.0,2025-09-18
46.51665740313111,0.04273966107956196,4.965753424657534,2025-09-19
17.24960225214676,0.05660086712023387,7.049180327868853,2025-09-20
36.17089494426407,0.026019785366285398,3.977272727272727,2025-09-21
39.19574333028455,0.03465026110632979,4.329268292682927,2025-09-22
24.803588546698872,0.03122838877402673,5.0,2025-09-24
4.581358533333334,0.030464756125657754,7.0,2025-09-25
19.46175043678161,0.03920269341995352,4.310344827586207,2025-09-26
51.54294490848485,0.03549491321726256,4.090909090909091,2025-09-27
47.84350687480569,0.05970020565602727,6.606425702811245,2025-09-28
69.94317681790123,0.02628396443828145,3.7037037037037037,2025-09-30
73.24914317541712,0.050908372056955316,4.680511182108626,2025-10-01
99.38037358333334,0.039372715939619246,4.4298245614035086,2025-10-02
65.82177933893773,0.0507365371734659,4.903846153846154,2025-10-03
79.97335349585921,0.051425188615237205,3.608695652173913,2025-10-04
27.487914372549017,0.026840799442922187,2.3529411764705883,2025-10-05
56.93093088207705,0.05026034331100274,3.8442211055276383,2025-10-06
60.616608588333335,0.05396244433531743,4.85,2025-10-07
36.44712468548387,0.04421385451630979,4.354838709677419,2025-10-08
112.78922499735948,0.06156913559731368,4.765625,2025-10-09
12.290892684000001,0.06864371376577881,7.8,2025-10-11
62.84488875260785,0.04708620149313909,4.9655172413793105,2025-10-12
13.267763858024692,0.03166326039742113,4.62962962962963,2025-10-13
21.90497230300646,0.08095964118564487,7.5,2025-10-14
36.52797481386778,0.04550772568668922,4.867021276595745,2025-10-15
49.83069264929577,0.060830988750272943,6.056338028169014,2025-10-16
27.337731251428572,0.03381049869191433,5.5,2025-10-17
61.76099072237654,0.0381548511805785,5.798611111111111,2025-10-18
107.42623535006973,0.046177340737507094,4.7698744769874475,2025-10-19
51.699740479999996,0.032155790980180954,4.041666666666667,2025-10-20
1.50538,0.0,0.0,2025-10-21
57.97818431226884,0.10639100270229307,8.00184162062615,2025-10-22
5.707891333333333,0.0874829348286911,11.0,2025-10-23
212.02491403333332,0.05213905579932855,4.488372093023256,2025-10-24
1.317204,0.0,0.0,2025-10-25
10.53762,0.0,0.0,2025-10-26
196.31459593596492,0.033451398377508976,2.5657894736842106,2025-10-27
36.99026305128205,0.028767358020018653,3.8461538461538463,2025-10-28
80.13045605376344,0.02729611051839414,2.338709677419355,2025-10-29
0.752688,0.0,0.0,2025-10-30
1.88172,0.0,0.0,2025-10-31
