datetime,outlier,storm_area,storm_centroid_x,storm_centroid_y,storm_id
2025-09-20 18:35:00,False,3.01075,1.0473,104.427,1_20250920
2025-09-20 18:40:00,False,4.89247,1.06832,104.427,1_20250920
2025-09-21 19:10:00,False,1.88172,1.81456,104.317,1_20250921
2025-09-22 18:30:00,False,10.1613,1.78303,104.189,1_20250922
2025-09-24 18:25:00,False,24.8387,1.02627,103.59,1_20250924
2025-09-24 18:30:00,False,15.8065,1.00525,103.608,1_20250924
2025-09-24 18:35:00,False,6.77419,1.01576,103.619,1_20250924
2025-09-25 20:05:00,False,10.914,0.795043,103.201,1_20250925
2025-09-25 20:10:00,False,12.043,0.784532,103.206,1_20250925
2025-09-25 20:15:00,False,10.5376,0.763511,103.206,1_20250925
2025-09-26 19:50:00,False,1.12903,0.774022,104.015,1_20250926
2025-09-27 12:05:00,False,0.752688,1.84609,103.892,1_20250927
2025-09-28 16:30:00,False,1.12903,1.97222,103.218,1_20250928
2025-09-28 16:35:00,False,3.76344,1.96171,103.236,1_20250928
2025-09-30 18:20:00,False,1.12903,1.79354,103.881,1_20250930
2025-10-01 09:35:00,False,0.752688,1.62537,104.369,1_20251001
2025-10-02 21:25:00,False,4.89247,0.900148,104.439,1_20251002
2025-10-02 21:30:00,False,6.39785,0.784532,104.439,1_20251002
2025-10-02 21:35:00,False,11.6667,0.816064,104.433,1_20251002
2025-10-02 21:40:00,False,23.7097,0.837085,104.433,1_20251002
2025-10-02 21:45:00,False,18.4409,0.837085,104.433,1_20251002
2025-10-02 21:55:00,False,27.0968,0.963211,104.422,1_20251002
2025-10-03 13:20:00,False,1.50538,1.37312,103.462,1_20251003
2025-10-03 13:25:00,False,1.12903,1.3521,103.456,1_20251003
2025-10-04 08:50:00,False,6.39785,1.05781,103.212,1_20251004
2025-10-04 09:00:00,False,15.0538,1.03678,103.259,1_20251004
2025-10-05 22:20:00,False,5.26882,0.763511,103.201,1_20251005
2025-10-06 18:55:00,False,5.64516,1.3521,103.48,1_20251006
2025-10-06 19:00:00,False,1.12903,1.41516,103.52,1_20251006
2025-10-07 12:20:00,False,43.6559,1.91967,103.654,1_20251007
2025-10-08 09:35:00,False,0.752688,1.81456,103.863,1_20251008
2025-10-09 10:45:00,False,0.752688,1.83558,103.881,1_20251009
2025-10-11 15:55:00,False,4.13978,1.96171,103.439,1_20251011
2025-10-11 16:05:00,False,1.50538,1.8566,103.456,1_20251011
2025-10-11 16:10:00,False,2.25806,1.81456,103.468,1_20251011
2025-10-11 16:15:00,False,0.752688,1.80405,103.433,1_20251011
2025-10-11 16:20:00,False,1.12903,1.73048,103.538,1_20251011
2025-10-12 16:25:00,False,38.7634,1.06832,103.439,1_20251012
2025-10-13 23:30:00,False,9.4086,1.78303,104.218,1_20251013
2025-10-13 23:35:00,False,21.4516,1.77252,104.201,1_20251013
2025-10-14 18:05:00,False,7.15054,1.11036,103.206,1_20251014
2025-10-14 18:10:00,False,7.15054,1.06832,103.206,1_20251014
2025-10-15 08:40:00,False,1.12903,1.87763,103.863,1_20251015
2025-10-15 08:45:00,False,1.12903,1.88814,103.84,1_20251015
2025-10-15 08:55:00,False,0.752688,1.93018,103.765,1_20251015
2025-10-15 09:00:00,False,6.77419,1.96171,103.701,1_20251015
2025-10-15 09:05:00,False,5.26882,1.9512,103.689,1_20251015
2025-10-15 09:10:00,False,1.88172,1.9512,103.654,1_20251015
2025-10-15 09:15:00,False,2.25806,1.9512,103.59,1_20251015
2025-10-16 20:20:00,False,9.4086,1.1524,104.433,1_20251016
2025-10-16 20:25:00,False,6.02151,1.13138,104.422,1_20251016
2025-10-17 19:20:00,False,11.2903,1.3521,103.829,1_20251017
2025-10-17 19:25:00,False,11.2903,1.34159,103.823,1_20251017
2025-10-17 19:30:00,False,7.15054,1.3521,103.817,1_20251017
2025-10-17 19:35:00,False,3.01075,1.36261,103.846,1_20251017
2025-10-17 19:40:00,False,6.02151,1.37312,103.834,1_20251017
2025-10-17 19:45:00,False,2.25806,1.38363,103.823,1_20251017
2025-10-18 11:40:00,False,1.50538,0.93168,103.206,1_20251018
2025-10-18 11:45:00,False,6.77419,0.921169,103.201,1_20251018
2025-10-18 11:50:00,False,3.01075,0.910659,103.218,1_20251018
2025-10-18 11:55:00,False,2.25806,0.910659,103.23,1_20251018
2025-10-19 08:20:00,False,13.172,1.46772,103.462,1_20251019
2025-10-20 11:40:00,False,5.64516,1.59384,103.195,1_20251020
2025-10-20 11:50:00,False,1.88172,1.61486,103.276,1_20251020
2025-10-20 11:55:00,False,1.88172,1.79354,103.294,1_20251020
2025-10-20 12:05:00,False,3.3871,1.96171,103.422,1_20251020
2025-10-20 12:10:00,False,4.51613,1.9512,103.52,1_20251020
2025-10-22 03:35:00,False,1.50538,0.984232,103.59,1_20251021
2025-10-22 10:05:00,False,33.1183,0.763511,103.212,1_20251022
2025-10-23 16:35:00,False,3.76344,0.73198,103.206,1_20251023
2025-10-23 16:40:00,False,1.12903,0.73198,103.236,1_20251023
2025-10-24 15:30:00,False,13.172,1.61486,103.41,1_20251024
2025-10-25 09:10:00,False,1.88172,1.77252,104.433,1_20251025
2025-10-26 15:50:00,False,19.1935,1.62537,103.439,1_20251026
2025-10-27 11:10:00,False,4.89247,1.87763,103.195,1_20251027
