station_id,station_name,latitude,longitude,timestamp,wind direction
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:15:00+08:00,247
S60,Sentosa,1.25,103.8279,2025-10-17T12:15:00+08:00,184
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:15:00+08:00,320
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:15:00+08:00,359
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:15:00+08:00,353
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:15:00+08:00,268
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:15:00+08:00,356
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T12:15:00+08:00,349
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T12:30:00+08:00,8
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:30:00+08:00,100
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:30:00+08:00,279
S117,Banyan Road,1.256,103.679,2025-10-17T12:30:00+08:00,265
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:30:00+08:00,250
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T12:30:00+08:00,271
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:30:00+08:00,235
S60,Sentosa,1.25,103.8279,2025-10-17T12:30:00+08:00,178
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:30:00+08:00,331
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:30:00+08:00,349
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:30:00+08:00,0
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:30:00+08:00,322
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:30:00+08:00,275
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T12:30:00+08:00,322
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T12:45:00+08:00,40
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T12:45:00+08:00,78
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T12:45:00+08:00,223
S117,Banyan Road,1.256,103.679,2025-10-17T12:45:00+08:00,257
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T12:45:00+08:00,257
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T12:45:00+08:00,282
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T12:45:00+08:00,235
S60,Sentosa,1.25,103.8279,2025-10-17T12:45:00+08:00,200
S50,Clementi Road,1.3337,103.7768,2025-10-17T12:45:00+08:00,325
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T12:45:00+08:00,345
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T12:45:00+08:00,10
S06,Paya Lebar,1.3524,103.9007,2025-10-17T12:45:00+08:00,355
S111,Scotts Road,1.31055,103.8365,2025-10-17T12:45:00+08:00,276
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T12:45:00+08:00,309
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T13:00:00+08:00,82
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:00:00+08:00,73
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:00:00+08:00,220
S117,Banyan Road,1.256,103.679,2025-10-17T13:00:00+08:00,248
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:00:00+08:00,193
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T13:00:00+08:00,222
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:00:00+08:00,240
S60,Sentosa,1.25,103.8279,2025-10-17T13:00:00+08:00,187
S50,Clementi Road,1.3337,103.7768,2025-10-17T13:00:00+08:00,306
S44,Nanyang Avenue,1.34583,103.68166,2025-10-17T13:00:00+08:00,1
S43,Kim Chuan Road,1.3399,103.8878,2025-10-17T13:00:00+08:00,314
S06,Paya Lebar,1.3524,103.9007,2025-10-17T13:00:00+08:00,314
S111,Scotts Road,1.31055,103.8365,2025-10-17T13:00:00+08:00,119
S121,Old Choa Chu Kang Road,1.37288,103.72244,2025-10-17T13:00:00+08:00,291
S108,Marina Gardens Drive,1.2799,103.8703,2025-10-17T13:15:00+08:00,153
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2025-10-17T13:15:00+08:00,128
S106,Pulau Ubin,1.4168,103.9673,2025-10-17T13:15:00+08:00,205
S117,Banyan Road,1.256,103.679,2025-10-17T13:15:00+08:00,252
S107,East Coast Parkway,1.3135,103.9625,2025-10-17T13:15:00+08:00,342
S104,Woodlands Avenue 9,1.44387,103.78538,2025-10-17T13:15:00+08:00,245
S115,Tuas South Avenue 3,1.29377,103.61843,2025-10-17T13:15:00+08:00,231
